CustomerID,Gender,Age,Monthly Income (K),Spending Score (1-100),
176,Female,30,? 88.00,86,
177,Male,58,? 88.00,15,
178,Male,27,? 88.00,69,
179,Male,59,? 93.00,14,
180,Male,35,? 93.00,90,
181,Female,37,? 97.00,32,
182,Female,32,? 97.00,86,
183,Male,46,? 98.00,15,
184,Female,29,? 98.00,88,
185,Female,41,? 99.00,39,
186,Male,30,? 99.00,97,
187,Female,54,? 101.00,24,
188,Male,28,? 101.00,68,
189,Female,41,? 103.00,17,
190,Female,36,? 103.00,85,
191,Female,34,? 103.00,23,
192,Female,32,? 103.00,69,
193,Male,33,? 113.00,8,
194,Female,38,? 113.00,91,
195,Female,47,? 120.00,16,
196,Female,35,? 120.00,79,
197,Female,45,? 126.00,28,
198,Male,32,? 126.00,74,
199,Male,32,? 137.00,18,
200,Male,30,? 137.00,83,
